profile,category,sample,source_width,source_height,width,height,quality,tile,base_target,layer,prefix_bytes,full_bytes,fraction_of_full,decode_ms,psnr,ssim_windowed,ms_ssim_windowed,ms_ssim_luma,legacy_ms_ssim_proxy
chat_preview,photo,kodak_01,768,512,512,341,35,64,32,0,961,5264,0.18256079027355623,4.76512,19.485194424076994,0.2475252556451565,0.6157427851886806,0.6175000403953417,0.7790496294024203
chat_preview,photo,kodak_01,768,512,512,341,35,64,32,1,1852,5264,0.3518237082066869,4.79587,20.3418474647143,0.35949116087700705,0.7395251981972732,0.7467273359970584,0.8457189203823027
chat_preview,photo,kodak_01,768,512,512,341,35,64,32,2,3283,5264,0.6236702127659575,5.02596,21.578007477057927,0.5386027014697622,0.8523923302575106,0.8638788966285527,0.9070225912286586
chat_preview,photo,kodak_01,768,512,512,341,35,64,32,3,4995,5264,0.9488981762917933,5.45696,23.137067511298305,0.6764412541011543,0.9097914947551476,0.9235279444950759,0.9443432834975527
chat_preview,photo,kodak_01,768,512,512,341,35,64,32,4,5264,5264,1.0,5.38017,23.39381982594643,0.6860694032864739,0.9120019973313509,0.9257289535108013,0.9475344133944433
chat_preview,photo,kodak_01,768,512,512,341,35,64,64,0,2673,13794,0.1937799043062201,4.85342,20.389864354494982,0.36158567215429677,0.7439253425353959,0.7507736870962303,0.848190062104744
chat_preview,photo,kodak_01,768,512,512,341,35,64,64,1,5511,13794,0.39952153110047844,5.16358,21.856685410882267,0.5593264713644024,0.8702954819835084,0.877350125936128,0.9162120209464223
chat_preview,photo,kodak_01,768,512,512,341,35,64,64,2,10508,13794,0.7617804842685225,5.72058,24.41221332385387,0.7620761988430185,0.9506630056656779,0.9576201153331926,0.9645361327685973
chat_preview,photo,kodak_01,768,512,512,341,35,64,64,3,13794,13794,1.0,6.56842,26.891172588464176,0.8524671342947333,0.9680231319220515,0.9750190857835248,0.9806403863206837
chat_preview,photo,kodak_01,768,512,512,341,36,64,32,0,961,5330,0.1803001876172608,4.85404,19.485194424076994,0.2475252556451565,0.6157427851886806,0.6175000403953417,0.7790496294024203
chat_preview,photo,kodak_01,768,512,512,341,36,64,32,1,1856,5330,0.3482176360225141,4.86396,20.34189668797837,0.35947952570619135,0.7395410490061342,0.746707690900848,0.8457201799403734
chat_preview,photo,kodak_01,768,512,512,341,36,64,32,2,3305,5330,0.6200750469043153,4.94646,21.593048656208964,0.5380021065937912,0.8526778161279623,0.8639620343396474,0.9075547041967849
chat_preview,photo,kodak_01,768,512,512,341,36,64,32,3,5035,5330,0.9446529080675422,5.41887,23.17415967908923,0.676859869584607,0.9106815930683919,0.9241650671548489,0.9451125295977011
chat_preview,photo,kodak_01,768,512,512,341,36,64,32,4,5330,5330,1.0,5.33054,23.449859953114235,0.6876648385087952,0.9131809027582561,0.9266454015369003,0.9485251182964448
chat_preview,photo,kodak_01,768,512,512,341,36,64,64,0,2673,13842,0.1931079323797139,4.68671,20.389864354494982,0.36158567215429677,0.7439253425353959,0.7507736870962303,0.848190062104744
chat_preview,photo,kodak_01,768,512,512,341,36,64,64,1,5511,13842,0.3981361074989163,5.00204,21.856685410882267,0.5593264713644024,0.8702954819835084,0.877350125936128,0.9162120209464223
chat_preview,photo,kodak_01,768,512,512,341,36,64,64,2,10550,13842,0.7621730963733565,6.11212,24.43552266633391,0.76223333282086,0.9509494967314462,0.9578079080537031,0.9646777133767637
chat_preview,photo,kodak_01,768,512,512,341,36,64,64,3,13842,13842,1.0,6.4025,26.98190183161579,0.8536356943638586,0.9685753007885602,0.9754456147618579,0.9810180360139311
chat_preview,photo,kodak_01,768,512,512,341,37,64,32,0,961,5376,0.17875744047619047,4.87129,19.485194424076994,0.2475252556451565,0.6157427851886806,0.6175000403953417,0.7790496294024203
chat_preview,photo,kodak_01,768,512,512,341,37,64,32,1,1880,5376,0.34970238095238093,4.8165,20.343528117447292,0.3596453855380197,0.7398837937818459,0.7470810990465011,0.8458080895806462
chat_preview,photo,kodak_01,768,512,512,341,37,64,32,2,3339,5376,0.62109375,10.7694,21.600049197748888,0.5383596688387485,0.8532765334013059,0.8640856791791021,0.9078546938881018
chat_preview,photo,kodak_01,768,512,512,341,37,64,32,3,5069,5376,0.9428943452380952,5.18962,23.182848708731147,0.6771847048399674,0.9112162104937785,0.9241608659112338,0.9453764084555865
chat_preview,photo,kodak_01,768,512,512,341,37,64,32,4,5376,5376,1.0,5.45733,23.47020255668987,0.6886368062588891,0.9138447653979164,0.9267575953917511,0.9489040417078465
chat_preview,photo,kodak_01,768,512,512,341,37,64,64,0,2673,13908,0.19219154443485764,4.84775,20.389864354494982,0.36158567215429677,0.7439253425353959,0.7507736870962303,0.848190062104744
chat_preview,photo,kodak_01,768,512,512,341,37,64,64,1,5573,13908,0.40070463042853033,5.29263,21.858700760370255,0.5597044309090788,0.8704209602118773,0.8774438432416682,0.9163574491994344
chat_preview,photo,kodak_01,768,512,512,341,37,64,64,2,10616,13908,0.7633016968651136,5.78825,24.440837974107982,0.7625064239168106,0.9511362166079159,0.9579573068152132,0.9648281845983617
chat_preview,photo,kodak_01,768,512,512,341,37,64,64,3,13908,13908,1.0,6.65083,26.992469053934464,0.8539338409841662,0.9687682248825595,0.9755747411802651,0.9810976258957016
chat_preview,photo,kodak_01,768,512,512,341,38,64,32,0,961,5544,0.17334054834054835,4.74167,19.485194424076994,0.2475252556451565,0.6157427851886806,0.6175000403953417,0.7790496294024203
chat_preview,photo,kodak_01,768,512,512,341,38,64,32,1,1880,5544,0.33910533910533913,4.91054,20.343528117447292,0.3596453855380197,0.7398837937818459,0.7470810990465011,0.8458080895806462
chat_preview,photo,kodak_01,768,512,512,341,38,64,32,2,3411,5544,0.6152597402597403,5.0785,21.62050184860259,0.541385675419686,0.8547629491571384,0.8656650178954326,0.9090047147340725
chat_preview,photo,kodak_01,768,512,512,341,38,64,32,3,5217,5544,0.941017316017316,5.35321,23.21893235094215,0.6825606873491677,0.9133972309237465,0.9265617881494717,0.9469291500335097
chat_preview,photo,kodak_01,768,512,512,341,38,64,32,4,5544,5544,1.0,5.55158,23.516922158773195,0.6949259206396508,0.9162987015044214,0.9294251359484146,0.9505280452586892
chat_preview,photo,kodak_01,768,512,512,341,38,64,64,0,2673,14340,0.18640167364016735,4.82996,20.389864354494982,0.36158567215429677,0.7439253425353959,0.7507736870962303,0.848190062104744
chat_preview,photo,kodak_01,768,512,512,341,38,64,64,1,5573,14340,0.3886331938633194,5.17837,21.858700760370255,0.5597044309090788,0.8704209602118773,0.8774438432416682,0.9163574491994344
chat_preview,photo,kodak_01,768,512,512,341,38,64,64,2,10872,14340,0.7581589958158996,5.86192,24.46511659862981,0.7651257097729623,0.9519408427556617,0.9588432823822618,0.9650201209709486
chat_preview,photo,kodak_01,768,512,512,341,38,64,64,3,14340,14340,1.0,6.50254,27.093020181943317,0.857872365423999,0.9696563278932859,0.9765398690762014,0.9816354631770174
chat_preview,photo,kodak_01,768,512,512,341,39,64,32,0,977,5607,0.17424647761726414,4.72396,19.485194424076994,0.2475252556451565,0.6157427851886806,0.6175000403953417,0.7790496294024203
chat_preview,photo,kodak_01,768,512,512,341,39,64,32,1,1898,5607,0.3385054396290351,4.91817,20.34481733779977,0.35979424315532693,0.7400579197043964,0.7470159323476584,0.8458822158079728
chat_preview,photo,kodak_01,768,512,512,341,39,64,32,2,3448,5607,0.6149456037096487,4.99987,21.62665777904163,0.5415786869655018,0.8551120001108767,0.8656415376752983,0.9092581076069362
