codec,image,size,quality,tile,encode_ms,decode_ms,bytes,bpp,psnr,ms_ssim_proxy,lpips,lpips_status,constraint_status
CAPS,kodak_04,512,35,32,10.2272,6.42492,103876,3.1700439453125,32.4808568976482,0.991611192811911,,unavailable,unverified_lpips
CAPS,kodak_04,512,20,32,10.5687,6.84162,92224,2.814453125,30.66966321445935,0.9870203191302835,,unavailable,unverified_lpips
CAPS,kodak_04,1024,100,32,67.9546,32.6737,1638408,12.50006103515625,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_04,1024,90,32,46.3231,26.345,1021464,7.79315185546875,41.016087892268665,0.9990019062371764,,unavailable,unverified_lpips
CAPS,kodak_04,1024,82,32,34.4222,21.8526,516648,3.94171142578125,37.649086461660474,0.9976312367802137,,unavailable,unverified_lpips
CAPS,kodak_04,1024,82,64,35.717,21.9301,455355,3.4740829467773438,37.649086461660474,0.9976312367802137,,unavailable,unverified_lpips
CAPS,kodak_04,1024,70,32,32.9499,20.866,374474,2.8570098876953125,35.49868152805631,0.9957055414711187,,unavailable,unverified_lpips
CAPS,kodak_04,1024,50,32,29.3509,19.611,275432,2.10137939453125,32.977089971987105,0.9918511225239202,,unavailable,unverified_lpips
CAPS,kodak_04,1024,35,32,34.9234,19.4433,246197,1.8783340454101562,31.806797091857018,0.9891975829366848,,unavailable,unverified_lpips
CAPS,kodak_04,1024,20,32,28.9739,19.1969,224946,1.7162017822265625,30.07931537230573,0.983669070083776,,unavailable,unverified_lpips
CAPS,kodak_05,512,100,32,21.7696,9.22992,628290,19.17388916015625,99.0,1.0,,unavailable,unverified_lpips
CAPS,kodak_05,512,90,32,16.2006,8.0885,424358,12.95037841796875,42.063670004157885,0.9994399996626561,,unavailable,unverified_lpips
CAPS,kodak_05,512,82,32,13.3005,7.28554,284743,8.689666748046875,38.21034912240328,0.9985416078647155,,unavailable,unverified_lpips
CAPS,kodak_05,512,82,64,13.0675,7.06442,275318,8.40203857421875,38.21034912240328,0.9985416078647155,,unavailable,unverified_lpips
CAPS,kodak_05,512,70,32,12.5332,7.13779,231213,7.056060791015625,35.88905480593589,0.9973220919649752,,unavailable,unverified_lpips
CAPS,kodak_05,512,50,32,11.1082,6.68833,179849,5.488555908203125,33.1079838458653,0.9947292528601177,,unavailable,unverified_lpips
CAPS,kodak_05,512,35,32,10.5622,6.61504,160329,4.892852783203125,31.710997463319206,0.9926303639222047,,unavailable,unverified_lpips
