profile,category,sample,source_width,source_height,width,height,quality,tile,layer,prefix_bytes,full_bytes,fraction_of_full,decode_ms,psnr,ssim_windowed,ms_ssim_windowed,ms_ssim_luma,legacy_ms_ssim_proxy
chat_preview,photo,kodak_01,768,512,512,341,18,64,1,5701,13841,0.41189220432049706,4.11321,21.828811302882055,0.5578842138533245,0.8687581541879276,0.875590245588485,0.9155087027843961
chat_preview,photo,kodak_01,768,512,512,341,18,64,2,10742,13841,0.7760999927750885,11.2388,24.22648778689104,0.7513919589500851,0.9452808232846422,0.9528150160671814,0.9622674552285448
chat_preview,photo,kodak_01,768,512,512,341,18,64,3,13841,13841,1.0,5.19633,25.91980147312872,0.8205449568468053,0.9591992050064296,0.966813727612966,0.9750605524510289
chat_preview,photo,kodak_01,768,512,512,341,19,64,0,2834,13851,0.20460616561981085,4.49475,20.37835230791055,0.3601075006279672,0.7423428782051184,0.748434256060516,0.8464423978456524
chat_preview,photo,kodak_01,768,512,512,341,19,64,1,5708,13851,0.41210020937116454,7.17362,21.829636510078558,0.5578671955902966,0.8688094185673348,0.8756303588786327,0.9155184567189002
chat_preview,photo,kodak_01,768,512,512,341,19,64,2,10752,13851,0.7762616417587178,4.4845,24.232955915502068,0.7514884742597528,0.9453861717534568,0.9529028425967184,0.96233090965734
chat_preview,photo,kodak_01,768,512,512,341,19,64,3,13851,13851,1.0,5.51387,25.93011360024008,0.8207282156747436,0.9593039342654687,0.9669006026513275,0.9751302837527258
chat_preview,photo,kodak_01,768,512,512,341,20,64,0,2834,13897,0.2039289055191768,4.21746,20.37835230791055,0.3601075006279672,0.7423428782051184,0.748434256060516,0.8464423978456524
chat_preview,photo,kodak_01,768,512,512,341,20,64,1,5748,13897,0.41361444916168955,5.46771,21.82962875663705,0.5578738931062549,0.8688305348046422,0.8756278019820848,0.9155753211865496
chat_preview,photo,kodak_01,768,512,512,341,20,64,2,10792,13897,0.7765704828380225,5.33712,24.235821165561,0.7515052709459521,0.9454126658749568,0.9529098716840968,0.9624137808643884
chat_preview,photo,kodak_01,768,512,512,341,20,64,3,13897,13897,1.0,6.24871,25.96576332994903,0.8211010997248809,0.9594117506649708,0.9669220827665551,0.9753060934620411
chat_preview,photo,kodak_01,768,512,512,341,21,64,0,2874,14149,0.2031238956816736,5.99225,20.37835230791055,0.3601075006279672,0.7423428782051184,0.748434256060516,0.8464423978456524
chat_preview,photo,kodak_01,768,512,512,341,21,64,1,5799,14149,0.40985228638066296,5.09642,21.829636607239564,0.5578810118901905,0.8688325347205129,0.8756267848903032,0.9155755958306493
chat_preview,photo,kodak_01,768,512,512,341,21,64,2,10912,14149,0.7712205809597852,4.29725,24.25857085039926,0.751981011374415,0.9458401061481402,0.953245540505531,0.9626681777966956
chat_preview,photo,kodak_01,768,512,512,341,21,64,3,14149,14149,1.0,5.51525,26.037695623615,0.8242264724453364,0.9602716602555924,0.9676755913720784,0.975597499793077
chat_preview,photo,kodak_01,768,512,512,341,22,64,0,2874,14157,0.20300911210002118,4.72229,20.37835230791055,0.3601075006279672,0.7423428782051184,0.748434256060516,0.8464423978456524
chat_preview,photo,kodak_01,768,512,512,341,22,64,1,5799,14157,0.40962068234795507,4.71471,21.829636607239564,0.5578810118901905,0.8688325347205129,0.8756267848903032,0.9155755958306493
chat_preview,photo,kodak_01,768,512,512,341,22,64,2,10915,14157,0.7709966800875891,5.04617,24.263480024798938,0.7520524075784968,0.9458948491185947,0.9532876927376305,0.9626991469075109
chat_preview,photo,kodak_01,768,512,512,341,22,64,3,14157,14157,1.0,5.21554,26.079484221860014,0.8247575435138189,0.9604261138377717,0.9677896487735606,0.9757670588529986
chat_preview,photo,kodak_01,768,512,512,341,23,64,0,2983,14667,0.2033817413240608,4.34767,20.37698567022752,0.36098922189597715,0.7432593183391022,0.7489943171355989,0.8471775195721706
chat_preview,photo,kodak_01,768,512,512,341,23,64,1,5980,14667,0.40771800640894523,5.16971,21.83718622157253,0.5580677489759579,0.8694485308579744,0.87574298611437,0.9158295019578576
chat_preview,photo,kodak_01,768,512,512,341,23,64,2,11252,14667,0.7671643826276675,6.30079,24.302370325051857,0.7554804358789644,0.9475295520859905,0.9544782052060332,0.9634044020209747
chat_preview,photo,kodak_01,768,512,512,341,23,64,3,14667,14667,1.0,5.29233,26.18882974674664,0.8302083884871664,0.9622957797399945,0.9692517408287602,0.9768502655205467
chat_preview,photo,kodak_01,768,512,512,341,24,64,0,2983,14726,0.20256688849653673,5.78167,20.37698567022752,0.36098922189597715,0.7432593183391022,0.7489943171355989,0.8471775195721706
chat_preview,photo,kodak_01,768,512,512,341,24,64,1,5980,14726,0.40608447643623524,4.60621,21.83718622157253,0.5580677489759579,0.8694485308579744,0.87574298611437,0.9158295019578576
chat_preview,photo,kodak_01,768,512,512,341,24,64,2,11304,14726,0.7676218932500339,5.24504,24.305863415569327,0.7558580490954924,0.947630936006696,0.9545710803605987,0.9634353447855891
chat_preview,photo,kodak_01,768,512,512,341,24,64,3,14726,14726,1.0,5.2135,26.2308457056163,0.8309605687102083,0.9624595386294955,0.9693855373165295,0.977019935704485
chat_preview,photo,kodak_01,768,512,512,341,25,64,0,2983,14897,0.20024165939450897,4.50462,20.37698567022752,0.36098922189597715,0.7432593183391022,0.7489943171355989,0.8471775195721706
chat_preview,photo,kodak_01,768,512,512,341,25,64,1,5983,14897,0.40162448815197693,4.65679,21.837184119243783,0.5580684608556145,0.8694501555727537,0.8757426790443985,0.9158298978836495
chat_preview,photo,kodak_01,768,512,512,341,25,64,2,11308,14897,0.7590790091964825,5.13225,24.30598882345072,0.755858471330953,0.9476332341326131,0.9545698838772866,0.9634375010254461
chat_preview,photo,kodak_01,768,512,512,341,25,64,3,14897,14897,1.0,5.6115,26.274622673731383,0.8334126689659529,0.9628824783242903,0.9698146807723166,0.9773001838928566
chat_preview,photo,kodak_01,768,512,512,341,26,64,0,2983,14963,0.19935841742965982,4.53421,20.37698567022752,0.36098922189597715,0.7432593183391022,0.7489943171355989,0.8471775195721706
chat_preview,photo,kodak_01,768,512,512,341,26,64,1,6019,14963,0.40225890529973934,7.26887,21.838658588256315,0.558071576939467,0.8694780731080547,0.8758139740907351,0.91595127403763
