image,size,layer,decode_ms,psnr,ms_ssim
kodak_18,1024,3,20.835,32.12854592875309,0.9928970121727457
kodak_18,1024,4,25.5388,37.03839715203592,0.9965768877632883
kodak_19,512,0,5.07292,21.736340421469535,0.9382899991058292
kodak_19,512,1,5.83417,23.69593007461532,0.9688801204994463
kodak_19,512,2,5.89925,27.33377507236323,0.9898243400320756
kodak_19,512,3,7.5245,38.64979081306379,0.9988053798549215
kodak_19,1024,0,21.1605,21.515770395330307,0.9189266718982656
kodak_19,1024,1,17.7098,23.356462301383413,0.9539730063154985
kodak_19,1024,2,18.9161,26.49307351884598,0.9810985540435404
kodak_19,1024,3,20.3887,32.5661509662586,0.9963345529180786
kodak_19,1024,4,22.7211,37.700167592053766,0.9983524563601538
kodak_20,512,0,5.41254,23.848815082995895,0.9903522067559816
kodak_20,512,1,5.34471,26.110766267289517,0.9954124095845671
kodak_20,512,2,6.00992,29.67577162262768,0.9984104355658882
kodak_20,512,3,6.89012,40.45086776055549,0.9997677052559739
kodak_20,1024,0,18.311,23.726379120171053,0.987019845943218
kodak_20,1024,1,17.9647,25.955433117253772,0.9932122477763562
kodak_20,1024,2,18.7012,29.110570300742662,0.9971544048065607
kodak_20,1024,3,20.4915,35.151643465418914,0.9993881740110127
kodak_20,1024,4,22.4577,39.51131678955829,0.9996770345024053
kodak_21,512,0,5.18696,22.268663450608308,0.9383850778539058
kodak_21,512,1,5.56371,24.151465173799064,0.9690766868669382
kodak_21,512,2,6.32525,27.54261606309882,0.9894091321587608
kodak_21,512,3,7.60304,38.74062495953766,0.9986811532268705
kodak_21,1024,0,18.4942,22.126302813336935,0.9185381087260549
kodak_21,1024,1,18.8637,23.962309551513883,0.9547512171480463
kodak_21,1024,2,18.5788,26.991917723858677,0.9812641478481423
kodak_21,1024,3,20.185,33.30620478513391,0.9964543297419475
kodak_21,1024,4,23.049,37.85190084548495,0.998231757241196
kodak_22,512,0,5.36208,24.38373042888024,0.9652278866887309
kodak_22,512,1,5.454,25.93085472260516,0.9795893117696307
kodak_22,512,2,6.65658,28.945648934697395,0.9918872123665116
kodak_22,512,3,7.78725,38.23919901550546,0.9985054227998333
kodak_22,1024,0,17.9643,24.11114779104436,0.9522272578348735
kodak_22,1024,1,18.2756,25.58548496600533,0.969646903975406
kodak_22,1024,2,18.869,28.07200273545415,0.9850761127051957
kodak_22,1024,3,20.9114,33.634965899748295,0.9963840503053504
kodak_22,1024,4,23.9165,37.24815384103095,0.9978733270043968
kodak_23,512,0,5.61575,25.661312225061295,0.9822413937076129
kodak_23,512,1,5.50988,27.86266511868937,0.99125865813233
kodak_23,512,2,6.20058,31.46521271770501,0.9969723770505412
kodak_23,512,3,7.03737,38.978426268509594,0.999180394948382
kodak_23,1024,0,19.5452,25.59533973112471,0.9767833397296083
kodak_23,1024,1,18.4633,27.774172469294477,0.987501483381657
kodak_23,1024,2,19.3098,30.944777648102942,0.9947407936861676
kodak_23,1024,3,20.9832,36.7132781959904,0.998656167286442
kodak_23,1024,4,21.8758,38.330455391069684,0.9989130838447594
kodak_24,512,0,6.05312,21.505017853136273,0.9537746710868757
kodak_24,512,1,5.51958,23.093640384151257,0.9747826290842734
kodak_24,512,2,6.11704,26.026243133432523,0.9898360164163026
kodak_24,512,3,7.64037,38.54341904732932,0.9990048160051535
kodak_24,1024,0,19.0557,21.282279845392896,0.9370356914488825
kodak_24,1024,1,18.644,22.780139726706338,0.9617316637061364
kodak_24,1024,2,19.294,25.359430653410293,0.9816786592204034
kodak_24,1024,3,21.8504,31.52040853703571,0.9964171668784026
kodak_24,1024,4,24.6835,37.587030743793,0.9986132494036113
div2k_0801x2,512,0,5.50496,20.379200941408865,0.9445687392308797
div2k_0801x2,512,1,5.65096,22.929656137612177,0.9763619226904555
div2k_0801x2,512,2,6.51579,27.182838852674045,0.9935212363636472
div2k_0801x2,512,3,8.47183,38.214065641088716,0.9991511514530612
div2k_0801x2,1024,0,18.1077,20.112309221418453,0.9270701949147803
div2k_0801x2,1024,1,19.2173,22.464448727383072,0.9646260551561356
div2k_0801x2,1024,2,19.525,25.93489499163765,0.9873890916795438
div2k_0801x2,1024,3,23.5889,31.39742283602842,0.9970862520629734
div2k_0801x2,1024,4,27.1561,37.08138092209996,0.9987766096783276
div2k_0802x2,512,0,5.62737,23.391771576369912,0.964690554511366
div2k_0802x2,512,1,6.15421,27.7349039455343,0.9901187599253126
div2k_0802x2,512,2,6.89825,32.12042527872529,0.9967647652777432
div2k_0802x2,512,3,9.42367,37.767138640264626,0.9985343537163279
div2k_0802x2,1024,0,18.3996,23.2252055634388,0.9568446703751078
div2k_0802x2,1024,1,18.8047,27.343564499634997,0.9856964889314573
div2k_0802x2,1024,2,19.2997,30.825233827328876,0.9941650086285707
div2k_0802x2,1024,3,22.4027,34.5234051395298,0.9972989353282762
div2k_0802x2,1024,4,30.5367,36.714981990819965,0.9979084178457194
div2k_0803x2,512,0,5.66979,23.522497296153624,0.9629906848493577
div2k_0803x2,512,1,5.44108,26.751877062089818,0.9864393031300646
div2k_0803x2,512,2,7.926,31.295937560873867,0.9963079596550559
div2k_0803x2,512,3,7.76521,38.381985281271824,0.9988731995378819
div2k_0803x2,1024,0,18.6241,23.345197224797296,0.952606869847658
div2k_0803x2,1024,1,18.6277,26.439544843439023,0.9805486060028386
div2k_0803x2,1024,2,18.7703,30.26491676562535,0.9935070099154955
div2k_0803x2,1024,3,20.5344,34.783546544491784,0.997794729655927
div2k_0803x2,1024,4,23.477,37.680998748052225,0.9984934084289374
div2k_0804x2,512,0,5.51325,19.039313459992183,0.9359487482605957
div2k_0804x2,512,1,5.96362,22.11130725433403,0.9764135213406336
div2k_0804x2,512,2,6.47533,26.439173491432474,0.9937041969678578
div2k_0804x2,512,3,8.83654,38.02124672959866,0.9992522421365174
div2k_0804x2,1024,0,18.4421,18.746853110246036,0.9183475951958523
div2k_0804x2,1024,1,18.2227,21.55732956710451,0.9645811429027217
div2k_0804x2,1024,2,19.3174,24.971565462851203,0.9872383172554692
div2k_0804x2,1024,3,23.9239,30.26776830144076,0.9970009147508859
div2k_0804x2,1024,4,27.6987,36.93433609213949,0.9989310494826537
div2k_0805x2,512,0,5.71317,22.53241477253652,0.9747947457092486
div2k_0805x2,512,1,5.44337,24.792166121280125,0.9883098244812472
div2k_0805x2,512,2,6.40979,28.345928917495012,0.9959935449241631
div2k_0805x2,512,3,8.41583,38.102072242492596,0.9993041160110618
div2k_0805x2,1024,0,18.1939,22.036736618690135,0.965455497844168
